date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:07	184/184	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2005%20Nov%202022%2015:49:07%20GMT	http://www.oceansatlas.org/robots.txt		(from )
21:19:08	18075/18075	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2015:49:08%20GMT	http://www.oceansatlas.org/subtopic/en/c/1303/	C:/My%20Web%20Sites/bitm29/www.oceansatlas.org/subtopic/en/c/1303/index.html	(from )
21:19:08	26833/26833	---M-Z	200	added ('OK')	text/css	etag:%2268d1-570f0820e7200-gzip%22	http://www.oceansatlas.org/typo3temp/stylesheet_8d699fc9bd.css?1531553160	C:/My%20Web%20Sites/bitm29/www.oceansatlas.org/typo3temp/stylesheet_8d699fc9bde301.css	(from http://www.oceansatlas.org/subtopic/en/c/1303/)
21:19:09	15514/15514	---M-Z	200	added ('OK')	text/css	etag:%223c9a-570ebb41d5540-gzip%22	http://www.oceansatlas.org/fileadmin/templates/oceanatlas/style.css?1531532525	C:/My%20Web%20Sites/bitm29/www.oceansatlas.org/fileadmin/templates/oceanatlas/style2538.css	(from http://www.oceansatlas.org/subtopic/en/c/1303/)
21:19:10	1/1	---M--	200	added ('OK')	application/javascript	etag:%221-570eb84ab5640%22	http://www.oceansatlas.org/fileadmin/templates/faoweb/scripts/main.js?1531531729	C:/My%20Web%20Sites/bitm29/www.oceansatlas.org/fileadmin/templates/faoweb/scripts/main3dd5.js	(from http://www.oceansatlas.org/subtopic/en/c/1303/)
21:19:11	733/733	---M-Z	200	added ('OK')	application/javascript	etag:%222dd-570eb84ab5640-gzip%22	http://www.oceansatlas.org/fileadmin/templates/faoweb/scripts/plugins.js?1531531729	C:/My%20Web%20Sites/bitm29/www.oceansatlas.org/fileadmin/templates/faoweb/scripts/plugins3dd5.js	(from http://www.oceansatlas.org/subtopic/en/c/1303/)
21:19:12	93637/93637	---M-Z	200	added ('OK')	application/javascript	etag:%2216dc5-570eb3433f8c0-gzip%22	http://www.oceansatlas.org/fileadmin/scripts/jquery/jquery-1.8.3.min.js?1531530379	C:/My%20Web%20Sites/bitm29/www.oceansatlas.org/fileadmin/scripts/jquery/jquery-1.8.3.min0c7c.js	(from http://www.oceansatlas.org/subtopic/en/c/1303/)
21:19:13	15414/15414	---M-Z	200	added ('OK')	application/javascript	etag:%223c36-570eb84ab5640-gzip%22	http://www.oceansatlas.org/fileadmin/templates/faoweb/scripts/vendor/modernizr-2.6.2.min.js?1531531729	C:/My%20Web%20Sites/bitm29/www.oceansatlas.org/fileadmin/templates/faoweb/scripts/vendor/modernizr-2.6.2.min3dd5.js	(from http://www.oceansatlas.org/subtopic/en/c/1303/)
21:19:13	318/318	---M-Z	200	added ('OK')	application/javascript	etag:%2213e-570f00632ae80-gzip%22	http://www.oceansatlas.org/typo3conf/ext/rgaccordion/res/rgaccordion_jquery.js?1531551082	C:/My%20Web%20Sites/bitm29/www.oceansatlas.org/typo3conf/ext/rgaccordion/res/rgaccordion_jqueryb465.js	(from http://www.oceansatlas.org/subtopic/en/c/1303/)
21:19:14	9883/9883	---M-Z	200	added ('OK')	application/javascript	etag:%22269b-570eb84ab5640-gzip%22	http://www.oceansatlas.org/fileadmin/templates/faoweb/scripts/jquery.selectbox-0.2.min.js?1531531729	C:/My%20Web%20Sites/bitm29/www.oceansatlas.org/fileadmin/templates/faoweb/scripts/jquery.selectbox-0.2.min3dd5.js	(from http://www.oceansatlas.org/subtopic/en/c/1303/)
21:19:15	1021/1021	---M-Z	200	added ('OK')	application/javascript	etag:%223fd-570eb849c1400-gzip%22	http://www.oceansatlas.org/fileadmin/templates/faoweb/scripts/comm_func.js?1531531728	C:/My%20Web%20Sites/bitm29/www.oceansatlas.org/fileadmin/templates/faoweb/scripts/comm_funcc516.js	(from http://www.oceansatlas.org/subtopic/en/c/1303/)
21:19:15	27952/27952	---M-Z	200	added ('OK')	application/javascript	etag:%226d30-570eb362b8300-gzip%22	http://www.oceansatlas.org/fileadmin/scripts/jquery/plugin/iosslider/jquery.iosslider.min.js?1531530412	C:/My%20Web%20Sites/bitm29/www.oceansatlas.org/fileadmin/scripts/jquery/plugin/iosslider/jquery.iosslider.min3402.js	(from http://www.oceansatlas.org/subtopic/en/c/1303/)
21:19:16	357/357	---M-Z	200	added ('OK')	application/javascript	etag:%22165-570f00bdc4440-gzip%22	http://www.oceansatlas.org/typo3temp/javascript_93077bb238.js?1531551177	C:/My%20Web%20Sites/bitm29/www.oceansatlas.org/typo3temp/javascript_93077bb238f6c6.js	(from http://www.oceansatlas.org/subtopic/en/c/1303/)
